,survived,pclass,sex,age,sibsp,parch,fare,embarked,alive,class,deck,alone,who,wc
201,0,3,male,,8,2,69.55,S,False,third,,False,male,m
202,0,3,male,34.0,0,0,6.4958,S,False,third,,True,male,m
203,0,3,male,45.5,0,0,7.225,C,False,third,,True,male,m
204,1,3,male,18.0,0,0,8.05,S,True,third,,True,male,m
205,0,3,female,2.0,0,1,10.4625,S,False,third,,False,child,
206,0,3,male,32.0,1,0,15.85,S,False,third,,False,male,m
207,1,3,male,26.0,0,0,18.7875,C,True,third,,True,male,m
208,1,3,female,16.0,0,0,7.75,Q,True,third,,True,female,w/c
209,1,1,male,40.0,0,0,31.0,C,True,first,,True,male,m
210,0,3,male,24.0,0,0,7.05,S,False,third,,True,male,m
211,1,2,female,35.0,0,0,21.0,S,True,second,,True,female,w/c
212,0,3,male,22.0,0,0,7.25,S,False,third,,True,male,m
213,0,2,male,30.0,0,0,13.0,S,False,second,,True,male,m
214,0,3,male,,1,0,7.75,Q,False,third,,False,male,m
215,1,1,female,31.0,1,0,113.275,C,True,first,,False,female,w/c
216,1,3,female,27.0,0,0,7.925,S,True,third,,True,female,w/c
217,0,2,male,42.0,1,0,27.0,S,False,second,,False,male,m
218,1,1,female,32.0,0,0,76.2917,C,True,first,,True,female,w/c
219,0,2,male,30.0,0,0,10.5,S,False,second,,True,male,m
220,1,3,male,16.0,0,0,8.05,S,True,third,,True,male,m
221,0,2,male,27.0,0,0,13.0,S,False,second,,True,male,m
222,0,3,male,51.0,0,0,8.05,S,False,third,,True,male,m
223,0,3,male,,0,0,7.8958,S,False,third,,True,male,m
224,1,1,male,38.0,1,0,90.0,S,True,first,,False,male,m
225,0,3,male,22.0,0,0,9.35,S,False,third,,True,male,m
226,1,2,male,19.0,0,0,10.5,S,True,second,,True,male,m
227,0,3,male,20.5,0,0,7.25,S,False,third,,True,male,m
228,0,2,male,18.0,0,0,13.0,S,False,second,,True,male,m
229,0,3,female,,3,1,25.4667,S,False,third,,False,female,w/c
230,1,1,female,35.0,1,0,83.475,S,True,first,,False,female,w/c
231,0,3,male,29.0,0,0,7.775,S,False,third,,True,male,m
232,0,2,male,59.0,0,0,13.5,S,False,second,,True,male,m
233,1,3,female,5.0,4,2,31.3875,S,True,third,,False,child,
234,0,2,male,24.0,0,0,10.5,S,False,second,,True,male,m
235,0,3,female,,0,0,7.55,S,False,third,,True,female,w/c
236,0,2,male,44.0,1,0,26.0,S,False,second,,False,male,m
237,1,2,female,8.0,0,2,26.25,S,True,second,,False,child,
238,0,2,male,19.0,0,0,10.5,S,False,second,,True,male,m
239,0,2,male,33.0,0,0,12.275,S,False,second,,True,male,m
240,0,3,female,,1,0,14.4542,C,False,third,,False,female,w/c
241,1,3,female,,1,0,15.5,Q,True,third,,False,female,w/c
242,0,2,male,29.0,0,0,10.5,S,False,second,,True,male,m
243,0,3,male,22.0,0,0,7.125,S,False,third,,True,male,m
244,0,3,male,30.0,0,0,7.225,C,False,third,,True,male,m
245,0,1,male,44.0,2,0,90.0,Q,False,first,,False,male,m
246,0,3,female,25.0,0,0,7.775,S,False,third,,True,female,w/c
247,1,2,female,24.0,0,2,14.5,S,True,second,,False,female,w/c
248,1,1,male,37.0,1,1,52.5542,S,True,first,,False,male,m
249,0,2,male,54.0,1,0,26.0,S,False,second,,False,male,m
250,0,3,male,,0,0,7.25,S,False,third,,True,male,m
251,0,3,female,29.0,1,1,10.4625,S,False,third,,False,female,w/c
252,0,1,male,62.0,0,0,26.55,S,False,first,,True,male,m
253,0,3,male,30.0,1,0,16.1,S,False,third,,False,male,m
254,0,3,female,41.0,0,2,20.2125,S,False,third,,False,female,w/c
255,1,3,female,29.0,0,2,15.2458,C,True,third,,False,female,w/c
256,1,1,female,,0,0,79.2,C,True,first,,True,female,w/c
257,1,1,female,30.0,0,0,86.5,S,True,first,,True,female,w/c
258,1,1,female,35.0,0,0,512.3292,C,True,first,,True,female,w/c
259,1,2,female,50.0,0,1,26.0,S,True,second,,False,female,w/c
260,0,3,male,,0,0,7.75,Q,False,third,,True,male,m
261,1,3,male,3.0,4,2,31.3875,S,True,third,,False,child,
262,0,1,male,52.0,1,1,79.65,S,False,first,,False,male,m
263,0,1,male,40.0,0,0,0.0,S,False,first,,True,male,m
264,0,3,female,,0,0,7.75,Q,False,third,,True,female,w/c
265,0,2,male,36.0,0,0,10.5,S,False,second,,True,male,m
266,0,3,male,16.0,4,1,39.6875,S,False,third,,False,male,m
267,1,3,male,25.0,1,0,7.775,S,True,third,,False,male,m
268,1,1,female,58.0,0,1,153.4625,S,True,first,,False,female,w/c
269,1,1,female,35.0,0,0,135.6333,S,True,first,,True,female,w/c
270,0,1,male,,0,0,31.0,S,False,first,,True,male,m
271,1,3,male,25.0,0,0,0.0,S,True,third,,True,male,m
272,1,2,female,41.0,0,1,19.5,S,True,second,,False,female,w/c
273,0,1,male,37.0,0,1,29.7,C,False,first,,False,male,m
274,1,3,female,,0,0,7.75,Q,True,third,,True,female,w/c
275,1,1,female,63.0,1,0,77.9583,S,True,first,,False,female,w/c
276,0,3,female,45.0,0,0,7.75,S,False,third,,True,female,w/c
277,0,2,male,,0,0,0.0,S,False,second,,True,male,m
278,0,3,male,7.0,4,1,29.125,Q,False,third,,False,child,
279,1,3,female,35.0,1,1,20.25,S,True,third,,False,female,w/c
280,0,3,male,65.0,0,0,7.75,Q,False,third,,True,male,m
281,0,3,male,28.0,0,0,7.8542,S,False,third,,True,male,m
282,0,3,male,16.0,0,0,9.5,S,False,third,,True,male,m
283,1,3,male,19.0,0,0,8.05,S,True,third,,True,male,m
284,0,1,male,,0,0,26.0,S,False,first,,True,male,m
285,0,3,male,33.0,0,0,8.6625,C,False,third,,True,male,m
286,1,3,male,30.0,0,0,9.5,S,True,third,,True,male,m
287,0,3,male,22.0,0,0,7.8958,S,False,third,,True,male,m
288,1,2,male,42.0,0,0,13.0,S,True,second,,True,male,m
289,1,3,female,22.0,0,0,7.75,Q,True,third,,True,female,w/c
290,1,1,female,26.0,0,0,78.85,S,True,first,,True,female,w/c
291,1,1,female,19.0,1,0,91.0792,C,True,first,,False,female,w/c
292,0,2,male,36.0,0,0,12.875,C,False,second,,True,male,m
293,0,3,female,24.0,0,0,8.85,S,False,third,,True,female,w/c
294,0,3,male,24.0,0,0,7.8958,S,False,third,,True,male,m
295,0,1,male,,0,0,27.7208,C,False,first,,True,male,m
296,0,3,male,23.5,0,0,7.2292,C,False,third,,True,male,m
297,0,1,female,2.0,1,2,151.55,S,False,first,,False,child,
298,1,1,male,,0,0,30.5,S,True,first,,True,male,m
299,1,1,female,50.0,0,1,247.5208,C,True,first,,False,female,w/c
300,1,3,female,,0,0,7.75,Q,True,third,,True,female,w/c
301,1,3,male,,2,0,23.25,Q,True,third,,False,male,m
302,0,3,male,19.0,0,0,0.0,S,False,third,,True,male,m
303,1,2,female,,0,0,12.35,Q,True,second,,True,female,w/c
304,0,3,male,,0,0,8.05,S,False,third,,True,male,m
305,1,1,male,0.92,1,2,151.55,S,True,first,,False,child,
306,1,1,female,,0,0,110.8833,C,True,first,,True,female,w/c
307,1,1,female,17.0,1,0,108.9,C,True,first,,False,female,w/c
308,0,2,male,30.0,1,0,24.0,C,False,second,,False,male,m
309,1,1,female,30.0,0,0,56.9292,C,True,first,,True,female,w/c
310,1,1,female,24.0,0,0,83.1583,C,True,first,,True,female,w/c
311,1,1,female,18.0,2,2,262.375,C,True,first,,False,female,w/c
312,0,2,female,26.0,1,1,26.0,S,False,second,,False,female,w/c
313,0,3,male,28.0,0,0,7.8958,S,False,third,,True,male,m
314,0,2,male,43.0,1,1,26.25,S,False,second,,False,male,m
315,1,3,female,26.0,0,0,7.8542,S,True,third,,True,female,w/c
316,1,2,female,24.0,1,0,26.0,S,True,second,,False,female,w/c
317,0,2,male,54.0,0,0,14.0,S,False,second,,True,male,m
318,1,1,female,31.0,0,2,164.8667,S,True,first,,False,female,w/c
319,1,1,female,40.0,1,1,134.5,C,True,first,,False,female,w/c
320,0,3,male,22.0,0,0,7.25,S,False,third,,True,male,m
321,0,3,male,27.0,0,0,7.8958,S,False,third,,True,male,m
322,1,2,female,30.0,0,0,12.35,Q,True,second,,True,female,w/c
323,1,2,female,22.0,1,1,29.0,S,True,second,,False,female,w/c
324,0,3,male,,8,2,69.55,S,False,third,,False,male,m
325,1,1,female,36.0,0,0,135.6333,C,True,first,,True,female,w/c
326,0,3,male,61.0,0,0,6.2375,S,False,third,,True,male,m
327,1,2,female,36.0,0,0,13.0,S,True,second,,True,female,w/c
328,1,3,female,31.0,1,1,20.525,S,True,third,,False,female,w/c
329,1,1,female,16.0,0,1,57.9792,C,True,first,,False,female,w/c
330,1,3,female,,2,0,23.25,Q,True,third,,False,female,w/c
331,0,1,male,45.5,0,0,28.5,S,False,first,,True,male,m
332,0,1,male,38.0,0,1,153.4625,S,False,first,,False,male,m
333,0,3,male,16.0,2,0,18.0,S,False,third,,False,male,m
334,1,1,female,,1,0,133.65,S,True,first,,False,female,w/c
335,0,3,male,,0,0,7.8958,S,False,third,,True,male,m
336,0,1,male,29.0,1,0,66.6,S,False,first,,False,male,m
337,1,1,female,41.0,0,0,134.5,C,True,first,,True,female,w/c
338,1,3,male,45.0,0,0,8.05,S,True,third,,True,male,m
339,0,1,male,45.0,0,0,35.5,S,False,first,,True,male,m
340,1,2,male,2.0,1,1,26.0,S,True,second,,False,child,
341,1,1,female,24.0,3,2,263.0,S,True,first,,False,female,w/c
342,0,2,male,28.0,0,0,13.0,S,False,second,,True,male,m
343,0,2,male,25.0,0,0,13.0,S,False,second,,True,male,m
344,0,2,male,36.0,0,0,13.0,S,False,second,,True,male,m
345,1,2,female,24.0,0,0,13.0,S,True,second,,True,female,w/c
346,1,2,female,40.0,0,0,13.0,S,True,second,,True,female,w/c
347,1,3,female,,1,0,16.1,S,True,third,,False,female,w/c
348,1,3,male,3.0,1,1,15.9,S,True,third,,False,child,
349,0,3,male,42.0,0,0,8.6625,S,False,third,,True,male,m
350,0,3,male,23.0,0,0,9.225,S,False,third,,True,male,m
351,0,1,male,,0,0,35.0,S,False,first,,True,male,m
352,0,3,male,15.0,1,1,7.2292,C,False,third,,False,child,
353,0,3,male,25.0,1,0,17.8,S,False,third,,False,male,m
354,0,3,male,,0,0,7.225,C,False,third,,True,male,m
355,0,3,male,28.0,0,0,9.5,S,False,third,,True,male,m
356,1,1,female,22.0,0,1,55.0,S,True,first,,False,female,w/c
357,0,2,female,38.0,0,0,13.0,S,False,second,,True,female,w/c
358,1,3,female,,0,0,7.8792,Q,True,third,,True,female,w/c
359,1,3,female,,0,0,7.8792,Q,True,third,,True,female,w/c
360,0,3,male,40.0,1,4,27.9,S,False,third,,False,male,m
361,0,2,male,29.0,1,0,27.7208,C,False,second,,False,male,m
362,0,3,female,45.0,0,1,14.4542,C,False,third,,False,female,w/c
363,0,3,male,35.0,0,0,7.05,S,False,third,,True,male,m
364,0,3,male,,1,0,15.5,Q,False,third,,False,male,m
365,0,3,male,30.0,0,0,7.25,S,False,third,,True,male,m
366,1,1,female,60.0,1,0,75.25,C,True,first,,False,female,w/c
367,1,3,female,,0,0,7.2292,C,True,third,,True,female,w/c
368,1,3,female,,0,0,7.75,Q,True,third,,True,female,w/c
369,1,1,female,24.0,0,0,69.3,C,True,first,,True,female,w/c
370,1,1,male,25.0,1,0,55.4417,C,True,first,,False,male,m
371,0,3,male,18.0,1,0,6.4958,S,False,third,,False,male,m
372,0,3,male,19.0,0,0,8.05,S,False,third,,True,male,m
373,0,1,male,22.0,0,0,135.6333,C,False,first,,True,male,m
374,0,3,female,3.0,3,1,21.075,S,False,third,,False,child,
375,1,1,female,,1,0,82.1708,C,True,first,,False,female,w/c
376,1,3,female,22.0,0,0,7.25,S,True,third,,True,female,w/c
377,0,1,male,27.0,0,2,211.5,C,False,first,,False,male,m
378,0,3,male,20.0,0,0,4.0125,C,False,third,,True,male,m
379,0,3,male,19.0,0,0,7.775,S,False,third,,True,male,m
380,1,1,female,42.0,0,0,227.525,C,True,first,,True,female,w/c
381,1,3,female,1.0,0,2,15.7417,C,True,third,,False,child,
382,0,3,male,32.0,0,0,7.925,S,False,third,,True,male,m
383,1,1,female,35.0,1,0,52.0,S,True,first,,False,female,w/c
384,0,3,male,,0,0,7.8958,S,False,third,,True,male,m
385,0,2,male,18.0,0,0,73.5,S,False,second,,True,male,m
386,0,3,male,1.0,5,2,46.9,S,False,third,,False,child,
387,1,2,female,36.0,0,0,13.0,S,True,second,,True,female,w/c
388,0,3,male,,0,0,7.7292,Q,False,third,,True,male,m
389,1,2,female,17.0,0,0,12.0,C,True,second,,True,female,w/c
390,1,1,male,36.0,1,2,120.0,S,True,first,,False,male,m
391,1,3,male,21.0,0,0,7.7958,S,True,third,,True,male,m
392,0,3,male,28.0,2,0,7.925,S,False,third,,False,male,m
393,1,1,female,23.0,1,0,113.275,C,True,first,,False,female,w/c
394,1,3,female,24.0,0,2,16.7,S,True,third,,False,female,w/c
395,0,3,male,22.0,0,0,7.7958,S,False,third,,True,male,m
396,0,3,female,31.0,0,0,7.8542,S,False,third,,True,female,w/c
397,0,2,male,46.0,0,0,26.0,S,False,second,,True,male,m
398,0,2,male,23.0,0,0,10.5,S,False,second,,True,male,m
399,1,2,female,28.0,0,0,12.65,S,True,second,,True,female,w/c
400,1,3,male,39.0,0,0,7.925,S,True,third,,True,male,m
401,0,3,male,26.0,0,0,8.05,S,False,third,,True,male,m
402,0,3,female,21.0,1,0,9.825,S,False,third,,False,female,w/c
403,0,3,male,28.0,1,0,15.85,S,False,third,,False,male,m
404,0,3,female,20.0,0,0,8.6625,S,False,third,,True,female,w/c
405,0,2,male,34.0,1,0,21.0,S,False,second,,False,male,m
406,0,3,male,51.0,0,0,7.75,S,False,third,,True,male,m
407,1,2,male,3.0,1,1,18.75,S,True,second,,False,child,
408,0,3,male,21.0,0,0,7.775,S,False,third,,True,male,m
409,0,3,female,,3,1,25.4667,S,False,third,,False,female,w/c
410,0,3,male,,0,0,7.8958,S,False,third,,True,male,m
411,0,3,male,,0,0,6.8583,Q,False,third,,True,male,m
412,1,1,female,33.0,1,0,90.0,Q,True,first,,False,female,w/c
413,0,2,male,,0,0,0.0,S,False,second,,True,male,m
414,1,3,male,44.0,0,0,7.925,S,True,third,,True,male,m
415,0,3,female,,0,0,8.05,S,False,third,,True,female,w/c
